idx,Category,Freq,Term,Total,loglift,logprob
739,Topic3,45.21148,quotidiano,206.10512,0.19290000200271606,-6.238900184631348
853,Topic3,14.088061,sindacare,58.056854,0.2937999963760376,-7.404900074005127
918,Topic3,80.733826,telegrafico,393.53424,0.125900000333786,-5.65910005569458
3345,Topic3,55.40127,cardinale,260.26074,0.16290000081062317,-6.035600185394287
49,Topic3,25.91218,america,113.70386,0.23109999299049377,-6.795499801635742
458,Topic3,184.08157,italiano,1001.09753,0.016499999910593033,-4.834799766540527
270,Topic3,48.132496,dire,229.07874,0.14980000257492065,-6.176300048828125
2939,Topic3,22.405472,vaticano,98.29294,0.2312999963760376,-6.940899848937988
818,Topic3,15.96743,santo,67.53888,0.2678000032901764,-7.279699802398682
951,Topic3,37.776463,trovare,178.41124,0.1574999988079071,-6.418499946594238
278,Topic3,84.47946,dispaccio,457.2385,0.021199999377131462,-5.613699913024902
90,Topic3,26.496956,avvenire,120.96718,0.19140000641345978,-6.773200035095215
608,Topic3,42.646046,nuovo,210.52539,0.11330000311136246,-6.297299861907959
238,Topic3,62.621445,daily,330.09018,0.04769999906420708,-5.913099765777588
456,Topic3,88.05121,italia,504.5979,-0.03590000048279762,-5.572299957275391
995,Topic3,63.029785,venire,341.4494,0.0203000009059906,-5.906599998474121
687,Topic3,64.51485,potere,358.15668,-0.004100000020116568,-5.883299827575684
457,Topic3,30.106043,italian,145.06456,0.13750000298023224,-6.645500183105469
927,Topic3,19.534767,terra,86.55951,0.22130000591278076,-7.078000068664551
638,Topic3,33.74069,parigi,168.94865,0.0989999994635582,-6.531499862670898
1604,Topic3,42.994102,papa,231.33762,0.02710000053048134,-6.2891998291015625
702,Topic3,31.502941,presidente,158.54242,0.09399999678134918,-6.600100040435791
802,Topic3,63.84979,roma,450.56665,-0.24400000274181366,-5.893700122833252
594,Topic3,33.91719,nome,187.96289,-0.002400000113993883,-6.526299953460693
295,Topic3,36.532482,dovere,219.12076,-0.08150000125169754,-6.452000141143799
1007,Topic3,29.62881,visitare,152.49486,0.07159999758005142,-6.661499977111816
564,Topic3,30.222536,morto,158.27715,0.05420000106096268,-6.641600131988525
515,Topic3,28.762423,mano,146.09097,0.08479999750852585,-6.691100120544434
45,Topic3,28.508215,altro,145.94334,0.07689999788999557,-6.699999809265137
401,Topic3,32.63545,gran,209.87292,-0.15119999647140503,-6.564799785614014
2502,Topic3,29.71448,volere,179.13466,-0.08659999817609787,-6.658599853515625
50,Topic3,29.628485,americano,184.37169,-0.11829999834299088,-6.661499977111816
23984,Topic4,0.83745396,available,1.5040394,1.3567999601364136,-9.995200157165527
23985,Topic4,0.8366865,text,1.5040319,1.3559000492095947,-9.996100425720215
16784,Topic4,0.737389,1871,2.340071,0.7875000238418579,-10.122400283813477
13223,Topic4,0.68788767,scully,2.4231262,0.6832000017166138,-10.191900253295898
17066,Topic4,0.44287536,ugill,1.5896107,0.6643999814987183,-10.63230037689209
13145,Topic4,1.0845622,ordinanza,3.8962066,0.6635000109672546,-9.736599922180176
16795,Topic4,0.4367635,airultima,1.5738701,0.6604999899864197,-10.646200180053711
16980,Topic4,0.4304263,ouiuata,1.5611492,0.6539999842643738,-10.660799980163574
17024,Topic4,0.41471478,rìngra,1.5202601,0.6432999968528748,-10.697999954223633
16824,Topic4,0.42688057,ccai,1.5654533,0.6428999900817871,-10.668999671936035
16983,Topic4,0.6309822,passy,2.3204858,0.6401000022888184,-10.278300285339355
16913,Topic4,0.4251981,iinn,1.5718005,0.6348999738693237,-10.67300033569336
16898,Topic4,0.4229634,giubba,1.5721614,0.6294000148773193,-10.678299903869629
16894,Topic4,0.4268999,genua,1.5894138,0.6277999877929688,-10.668999671936035
16781,Topic4,0.41089287,10hm,1.537476,0.6227999925613403,-10.707200050354004
